idx,rank,player,war
8,18,Randy Johnson,70.3
8,19,Cy Young,69.9
8,20,Tris Speaker,69.8
8,21,Albert Pujols,69.1
8,22,Hank Aaron,68.1
8,23,Bob Gibson,67.6
8,24,Nap Lajoie,66.7
8,25,Jimmie Foxx,66.4
8,26,Tom Seaver,66.0
8,27,Mike Schmidt,65.9
8,28,Joe Morgan,64.8
8,29,Pedro Martinez,64.7
8,30,Rickey Henderson,63.7
8,31,Ed Walsh,63.7
8,32,Wade Boggs,62.4
8,33,Greg Maddux,62.3
8,34,Cal Ripken,61.6
8,35,Eddie Mathews,61.6
8,36,Phil Niekro,60.8
8,37,Roberto Clemente,60.6
8,38,Carl Yastrzemski,60.6
8,39,Robin Roberts,60.3
8,40,Wes Ferrell,59.8
8,41,Ken Griffey,59.4
8,42,Steve Carlton,59.3
8,43,Mel Ott,59.3
8,44,Gaylord Perry,59.1
8,45,Frank Robinson,59.1
8,46,Ron Santo,58.7
8,47,George Brett,58.5
8,48,Stan Coveleski,57.9
8,49,Warren Spahn,57.7
8,50,Fergie Jenkins,57.5
8,51,Joe Jackson,57.1
8,52,Bert Blyleven,57.0
8,53,Eddie Plank,56.9
8,54,Roy Halladay,56.5
8,55,Joe DiMaggio,56.2
8,56,Bob Feller,55.9
8,57,Jackie Robinson,55.7
8,58,Arky Vaughan,55.7
8,59,Charlie Gehringer,55.6
8,60,Curt Schilling,55.4
8,61,Ernie Banks,55.3
8,62,Juan Marichal,55.3
8,63,Hal Newhouser,55.1
8,64,Dazzy Vance,55.0
8,65,Johnny Mize,54.8
8,66,Rod Carew,54.7
8,67,Duke Snider,54.5
8,68,Rube Waddell,54.4
8,69,Adrian Beltre,54.4
8,70,Al Kaline,54.4
8,71,Gary Carter,53.6
8,72,Jeff Bagwell,53.5
8,73,Jim Bunning,53.5
8,74,Lou Boudreau,52.9
8,75,Jim Palmer,52.8
8,76,Chase Utley,52.8
8,77,Chipper Jones,52.3
8,78,Robin Yount,52.1
8,79,Johnny Bench,52.0
8,80,Reggie Jackson,51.9
8,81,Harry Heilmann,51.7
8,82,Carl Hubbell,51.6
8,83,Ken Boyer,51.4
8,84,Frank Baker,51.4
8,85,Andruw Jones,51.3
8,86,Hank Greenberg,51.1
8,87,George Sisler,51.1
8,88,Kevin Brown,51.0
8,89,Robinson Cano,50.9
8,90,Sandy Koufax,50.7
8,91,Bobby Grich,50.6
8,92,Frank Thomas,50.5
8,93,Ryne Sandberg,50.5
8,94,Al Simmons,50.3
8,95,Brooks Robinson,50.3
8,96,Joe Gordon,49.9
8,97,Pete Rose,49.8
8,98,Mike Mussina,49.8
8,99,Urban Shocker,49.7
8,100,Todd Helton,49.7
9,1,Walter Johnson,109.0
9,2,Babe Ruth,105.6
9,3,Rogers Hornsby,91.9
9,4,Willie Mays,91.7
9,5,Barry Bonds,89.8
9,6,Ted Williams,84.2
9,7,Pete Alexander,83.3
9,8,Lou Gehrig,83.3
9,9,Ty Cobb,83.2
9,10,Roger Clemens,82.1
9,11,Christy Mathewson,81.8
9,12,Lefty Grove,81.1
9,13,Honus Wagner,80.3
9,14,Alex Rodriguez,80.1
9,15,Stan Musial,79.2
9,16,Eddie Collins,77.8
9,17,Mickey Mantle,77.5
9,18,Tris Speaker,76.9
9,19,Randy Johnson,76.1
9,20,Hank Aaron,75.9
9,21,Albert Pujols,75.7
9,22,Mike Schmidt,72.9
9,23,Bob Gibson,72.6
9,24,Cy Young,72.3
9,25,Jimmie Foxx,72.3
9,26,Tom Seaver,72.1
9,27,Nap Lajoie,72.1
9,28,Rickey Henderson,70.0
9,29,Joe Morgan,69.8
9,30,Pedro Martinez,69.8
9,31,Eddie Mathews,68.1
9,32,Greg Maddux,68.0
9,33,Wade Boggs,66.9
9,34,Cal Ripken,66.3
9,35,Roberto Clemente,66.1
9,36,Phil Niekro,66.0
9,37,Carl Yastrzemski,65.6
9,38,Mel Ott,65.5
9,39,Ed Walsh,65.0
9,40,Frank Robinson,64.9
9,41,Ken Griffey,64.6
9,42,Gaylord Perry,64.6
9,43,Robin Roberts,64.1
9,44,George Brett,63.7
9,45,Steve Carlton,63.7
9,46,Warren Spahn,63.3
9,47,Wes Ferrell,63.2
9,48,Ron Santo,62.9
9,49,Bert Blyleven,62.8
9,50,Eddie Plank,62.4
9,51,Stan Coveleski,61.7
9,52,Fergie Jenkins,61.5
9,53,Joe DiMaggio,61.3
9,54,Curt Schilling,60.6
9,55,Joe Jackson,60.6
9,56,Charlie Gehringer,60.5
9,57,Arky Vaughan,60.2
